Paises;R-A4x100m M;R-A4x100m F;R-A4x400m M;R-A4x400m F;R-Baloncesto M;R-Baloncesto F;R-Balonmano M;R-Balonmano F;R-Ciclo Vel. Equipos M;R-Ciclo Vel. Equipos F;R-Ciclo Perseguir Equipos M;R-Ciclo Perseguir Equipos F;R-N 4x100m M;R-N 4x100m F;R-N 4x200m M;R-N 4x200m F;R-NET 4x100m M;R-NET 4x100m F;R-N Sincronizada;R-Waterpolo M;R-Waterpolo F;R-Doma;R-Salto obst.;R-Concurso Completo;R-Espada M;R-Florete M;R-Espada F;R-Sable F;R-Futbol M;R-Futbol F;R-Gim. Art. M;R-Gim.Art. F;R-Gim. Rit.;R-Hockey M;R-Hockey F;R-K4 1000m M;R-K4 500m F;R-M4X M;R-WAX F;R-Rugby 7 M;R-Rugby 7 F;R-Tenis Mesa M;R-Tenis Mesa F;R-TA M;R-TA F;R-Volei M;R-Volei F;17-A4x100m M;17-A4x100m F;17-A4x400m M;17-A4x400m F;17-Baloncesto M;17-Baloncesto F;17-Balonmano M;17-Balonmano F;17-Ciclo Vel. Equipos M;17-Ciclo Vel. Equipos F;17-Ciclo Perseguir Equipos M;17-Ciclo Perseguir Equipos F;17-N 4x100m M;17-N 4x100m F;17-N 4x200m M;17-N 4x200m F;17-NET 4x100m M;17-NET 4x100m F;17-N Sincronizada;17-Waterpolo M;17-Waterpolo F;17-Doma;17-Salto obst.;17-Concurso Completo;17-Espada M;17-Florete M;17-Espada F;17-Sable F;17-Futbol M;17-Futbol F;17-Gim. Rit.;17-Hockey M;17-Hockey F;17-K4 1000m M;17-K4 500m F;17-M4X M;17-WAX F;17-Rugby 7 M;17-Rugby 7 F;17-TA M;17-TA F;17-Volei M;17-Volei F;18-A4x400m M;18-A4x400m F;18-Baloncesto F;18-Balonmano M;18-Balonmano F;18-Ciclo Vel. Equipos M;18-Ciclo Vel. Equipos F;18-N 4x100m M;18-N 4x100m F;18-N 4x200m M;18-N 4x200m F;18-NET 4x100m M;18-NET 4x100m F;18-Waterpolo M;18-Waterpolo F;18-Doma;18-Salto obst.;18-Concurso Completo;18-Espada M;18-Florete M;18-Espada F;18-Sable F;18-Futbol M;18-Gim. Art. M;18-Gim.Art. F;18-Gim. Rit.;18-Hockey M;18-Hockey F;18-K4 1000m M;18-K4 500m F;18-M4X M;18-WAX F;18-Rugby 7 M;18-Rugby 7 F;18-Tenis Mesa M;18-Tenis Mesa F;18-TA M;18-TA F;18-Volei M;18-Volei F;19-A4x100m M;19-A4x100m F;19-A4x400m M;19-A4x400m F;19-Baloncesto M;19-Baloncesto F;19-Balonmano M;19-Balonmano F;19-Ciclo Vel. Equipos M;19-Ciclo Vel. Equipos F;19-Ciclo Perseguir Equipos M;19-Ciclo Perseguir Equipos F;19-N 4x100m M;19-N 4x100m F;19-N 4x200m M;19-N 4x200m F;19-NET 4x100m M;19-NET 4x100m F;19-N Sincronizada;19-Waterpolo M;19-Waterpolo F;19-Doma;19-Salto obst.;19-Concurso Completo;19-Espada F;19-Florete M;19-Espada M;19-Sable F;19-Futbol M;19-Futbol F;19-Gim. Art. M;19-Gim.Art. F;19-Gim. Rit.;19-Hockey M;19-Hockey F;19-K4 1000m M;19-K4 500m F;19-M4X M;19-WAX F;19-Rugby 7 M;19-Rugby 7 F;19-Tenis Mesa M;19-Tenis Mesa F;19-TA M;19-TA F;19-Volei M;19-Volei F;T-A4x100m M;T-A4x100m F;T-A4x400m M;T-A4x400m F;T-Baloncesto M;T-Baloncesto F;T-Balonmano M;T-Balonmano F;T-Ciclo Vel. Equipos M;T-Ciclo Vel. Equipos F;T-Ciclo Perseguir Equipos M;T-Ciclo Perseguir Equipos F;T-N 4x100m M;T-N 4x100m F;T-N 4x200m M;T-N 4x200m F;T-NET 4x100m M;T-NET 4x100m F;T-N Sincronizada;T-Waterpolo M;T-Waterpolo F;T-Doma;T-Salto obst.;T-Concurso Completo;T-Espada M;T-Florete M;T-Espada F;T-Sable F;T-Futbol M;T-Futbol F;T-Gim. Art. M;T-Gim.Art. F;T-Gim. Rit.;T-Hockey M;T-Hockey F;T-K4 1000m M;T-K4 500m F;T-M4X M;T-WAX F;T-Rugby 7 M;T-Rugby 7 F;T-Tenis Mesa M;T-Tenis Mesa F;T-TA M;T-TA F;T-Volei M;T-Volei F;Paises;20-Pob;Felicidad;PIB;LicFF
Monaco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monaco;39244;;6631;
Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mongolia;3355000;5677;11501;
Montenegro;;;;;;;;11;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;Montenegro;620739;5581;4912;
Mozambique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mozambique;31255435;4794;12274;
Namibia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Namibia;2504000;4547;9377;
Nauru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nauru;10834;;103;
Nepal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nepal;29136808;5269;29752;
Nicaragua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nicaragua;6496000;5972;11049;
Niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niger;24206636;5074;12048;
Nigeria;;7;;;11;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;0;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;;;;10;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nigeria;206139587;4759;375961;
Noruega;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;Noruega;5391369;7392;407755;103636
Nueva Zelanda;;;;;;;;;2;9;4;4;;;;;;;;;;;;4;;;;;;;;;;7;4;;5;10;;5;2;;;;;;;;;;;;;;;;;2;6;;;;;;;;;;;;;;;;;8;;;8;;;3;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;;;;;;;;0;;;;;;;3;;;;;;;;0;0;;;;;;;;;0;;;;;;;;;;1;1;;;;;;;;;;;;;;;7;;4;8;;;;;;;;;;;;5;;;;;6;12;;;;9;8;;4;;8;2;1;;;;;;;Nueva Zelanda;5087000;7277;185020;
Oman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oman;4445000;;55479;
Paises Bajos;;;;;;;;4;6;5;0;;;4;7;0;;;;;;4;0;6;;;;;;;;7;;4;2;;;;2;;;;0;7;;;4;;8;;;;;;3;1;6;;;;3;4;5;;3;;;;5;6;;;;;;;;;2;;;;4;1;;;;;;;;;;;3;1;1;;2;;;;;;1;;;;;;;;;;;;2;1;;;;3;;;;;3;;;4;8;;;6;;;;1;1;;;;;4;;;;;;;0;1;;;;;;;2;2;;;;3;;;;1;2;;;;;0;0;;0;;0;2;6;;;;5;1;4;;;;4;;;;;;;6;5;4;;;;;;;5;;;;6;1;;;1;6;;;;;4;;;;Paises Bajos;17475415;7464;860719;155035
Pakistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pakistan;208570000;4934;229142;
Palaos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palaos;17000;;225;
Palestina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palestina;5101000;4517;13645;
Panama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Panama;4279000;6180;46347;
Papua Nueva Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Papua Nueva Guinea;8947027;;21598;
Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paraguay;7132530;5653;31229;
Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Peru;32625948;5840;179879;
Polonia;;;7;6;;;4;;7;;;8;;0;0;;0;;;;;;;;;;;6;;;;;;;;;0;4;3;;;0;0;;;0;;;;7;3;;;;;5;;;8;;;8;;;;;;;;;;;;3;;;;;;;;;5;2;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;1;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;;;;;;;2;;;;5;2;;;;;8;7;;;;;;;;;;;;;;13;;;6;;;;;;;;;;3;4;2;;;;0;;;5;;Polonia;37840001;6166;570207;26727
Portugal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;6;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;;;;;;;;;;;9;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;8;;;;;;0;;;;;;Portugal;10298252;;231300;9067
Puerto Rico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Puerto Rico;3285874;;103100;
Reino Unido;5;3;0;3;;;;;1;;1;1;;;2;0;2;7;;;;2;0;5;;6;;;;;4;5;;9;1;;7;5;;2;4;0;;;;;;1;2;3;2;;;;;3;;5;5;;;2;;2;;;;;4;;;;;;;;;;4;;;;2;3;5;8;;;;;;3;;;;;;;;;;;;;;3;;1;;;;;4;;;;4;7;;;;;;;;;;;;;;2;;3;;4;;;;;2;2;5;;5;;1;8;;;;;;;;;;;3;4;;;;5;4;;;;;0;0;;;;;;;2;3;;5;;;;;2;;7;2;;5;1;;2;;;;;3;10;1;;;;;;7;4;3;;5;3;;;2;7;4;4;;;5;;;;Reino Unido;67025542;;2708000;145000
Republica Centroafricana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Republica Centroafricana;4829764;;2303;
Republica Checa;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;0;8;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Republica Checa;10701777;;243500;11353
Republica de Macedonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Republica de Macedonia;2068808;;12270;
Republica del Congo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Republica del Congo;4682000;;10880;
Republica Democratica del Congo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Republica Democratica del Congo;89561000;;49870;
Republica Dominicana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;Republica Dominicana;10847904;;78840;
ROT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ROT;0;;;
Ruanda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ruanda;12952209;;9047;
Rumania;;;;;;;;9;;;;;0;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;0;;;;;Rumania;19186201;6140;240154;52572
Rusia;;;;;;;;1;;2;;;4;0;5;7;4;6;1;;3;;;13;7;1;3;1;;;2;2;1;;;0;;;;;;;;;2;4;0;;;;;;1;;0;7;3;6;;4;;3;6;3;;1;;3;;;;3;;;;5;;1;;5;;;;;;6;;;2;4;;;;;2;;;2;;2;;2;;2;2;;;;3;3;;2;8;2;2;1;;;4;;;;8;;;;;2;5;8;;;;;0;0;0;3;3;2;;;2;;2;5;3;;1;;0;;;;2;;;1;;;1;2;1;;0;2;;;;;0;;;0;0;0;3;;;;;;;;2;6;3;;;7;;2;5;4;7;1;;4;12;;;2;2;8;1;;;1;1;2;;;4;12;;;;8;;;;2;2;7;Rusia;146171000;5477;1293052;25865
Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Samoa;198410;;807;
Samoa Americana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Samoa Americana;55197;;;
San Cristobal y Nieves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;San Cristobal y Nieves;53192;;927;
San Marino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;San Marino;34000;;1616;
San Vicente y las Granadinas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;San Vicente y las Granadinas;110947;;809;
Santa Lucia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Santa Lucia;183629;;1703;
Santo Tome y Principe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Santo Tome y Principe;219161;;418;
Senegal;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Senegal;16744000;;21576;
Serbia;;;;;2;3;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;8;0;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;0;3;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;4;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;3;Serbia;6871547;6078;53318;2464
Seychelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Seychelles;98462;;6;
